,author,content,description,medium,publishedAt,source_id,source_name,title,url,urlToImage,polarity,length,article_similarity,source_similarity,cosine_similarity,subject_matter,cluster
10,Lauren Gambino in Washington,,"Donald Trump’s pick, who could shift the top decisively to the right, begins his confirmation hearing before the Senate judiciary committee 3.03pm BST Democrats are arguing that they received “a 40,000 page document dump” on Monday night and have not had a ch…",text,2018-09-04T14:03:45Z,the-guardian-au,The Guardian (AU),Brett Kavanaugh: protesters disrupt supreme court nominee's Senate hearing – live,https://www.theguardian.com/law/live/2018/sep/04/brett-kavanaugh-supreme-court-senate-confirmation-hearing,https://i.guim.co.uk/img/media/23b642bbb668dec4a08428c608240bf722be1ca4/0_141_4230_2538/master/4230.jpg?width=1200&height=630&quality=85&auto=format&usm=12&fit=crop&crop=faces%2Centropy&bm=normal&ba=bottom%2Cleft&blend64=aHR0cHM6Ly9hc3NldHMuZ3VpbS5jby51ay9pbWFnZXMvb3ZlcmxheXMvZmQ2MTg4YTJlMWFhNThmNWM5Y2VkODlkNjQxOWU1OTgvdGctbGl2ZS5wbmc&s=2b656646f9b1f437333cf9457d3ba089,0.5497138238020636,5,0.5090673877773604,0.31329135625157933,0.5008527652816452,1,1
11,Reuters Editorial,"WASHINGTON (Reuters) - U.S. senators on Wednesday are set to probe Brett Kavanaugh, President Donald Trump’s nominee to fill a vacancy on the Supreme Court, over his views on abortion as his confirmation hearing moves into its second day. Here is why it matte… [+2552 chars]","U.S. senators on Wednesday are set to probe Brett Kavanaugh, President Donald Trump's nominee to fill a vacancy on the Supreme Court, over his views on abortion as his confirmation hearing moves into its second day. Here is why it matters:",text,2018-09-05T10:03:05Z,reuters,Reuters,Factbox: Kavanaugh's view on precedent central to U.S. abortion debate,https://www.reuters.com/article/us-usa-court-abortion-factbox/factbox-kavanaughs-view-on-precedent-central-to-u-s-abortion-debate-idUSKCN1LL14M,https://s3.reutersmedia.net/resources/r/?m=02&d=20180905&t=2&i=1300915923&w=1200&r=LYNXNPEE840MM,0.15924496039615965,2,0.4449221963396366,0.6630730219435574,0.726390858262144,5,3
12,Reuters Editorial,"WASHINGTON (Reuters) - The late U.S. Senator John McCain’s seat was filled on Wednesday when Jon Kyl, a former senator, took the oath of office in time to help Republicans in their push to confirm Brett Kavanaugh to the U.S. Supreme Court. Kyl, 76, was sworn … [+1820 chars]","The late U.S. Senator John McCain's seat was filled on Wednesday when Jon Kyl, a former senator, took the oath of office in time to help Republicans in their push to confirm Brett Kavanaugh to the U.S. Supreme Court.",text,2018-09-05T17:38:54Z,reuters,Reuters,Jon Kyl sworn in as senator replacing McCain,https://www.reuters.com/article/us-usa-mccain/jon-kyl-sworn-in-as-senator-replacing-mccain-idUSKCN1LL2LR,https://s2.reutersmedia.net/resources/r/?m=02&d=20180905&t=2&i=1301053964&w=1200&r=LYNXNPEE841N4,0.4636037794852619,4,0.22649306074750286,0.06117574764922329,0.18409490875123713,3,3
13,https://www.facebook.com/bbcnews,"The Senate has scheduled a public hearing on a sex assault claim against Supreme Court nominee Brett Kavanaugh next Monday. Mr Kavanaugh and Christine Blasey Ford, the woman who says he attacked her 36 years ago, will both be able to testify, a senator said. … [+303 chars]",The Supreme Court nominee and his accuser are reportedly both invited to appear before senators.,text,2018-09-17T22:30:43Z,bbc-news,BBC News,Kavanaugh and accuser to testify in Senate,https://www.bbc.co.uk/news/world-us-canada-45555359,https://ichef.bbci.co.uk/news/1024/branded_news/7A23/production/_97176213_breaking_news_bigger.png,0.16871252332297315,4,0.8633046933441135,0.803942562718485,0.4919141411670279,2,3
14,Reuters Editorial,"WASHINGTON (Reuters) - Democrats on Sunday criticized the Trump administration for refusing to release thousands of documents on Brett Kavanaugh ahead of this week’s upcoming Senate hearings on his nomination to the U.S. Supreme Court. Kavanaugh, nominated by… [+2041 chars]",Democrats on Sunday criticized the Trump administration for refusing to release thousands of documents on Brett Kavanaugh ahead of this week's upcoming Senate hearings on his nomination to the U.S. Supreme Court.,text,2018-09-02T16:00:51Z,reuters,Reuters,Democrats slam White House for withholding documents on Supreme Court nominee,https://www.reuters.com/article/us-usa-court-kavanaugh/democrats-slam-white-house-for-withholding-documents-on-supreme-court-nominee-idUSKCN1LI0MH,https://s4.reutersmedia.net/resources/r/?m=02&d=20180902&t=2&i=1299969620&w=1200&r=LYNXNPEE810J9,0.1538713600142213,7,0.879391051893587,0.4526268796644062,0.5336607887413575,1,3
15,Reuters Editorial,"WASHINGTON (Reuters) - Brett Kavanaugh, President Donald Trump’s Supreme Court nominee, raised questions as a White House aide more than a decade ago about whether the 1973 high court ruling legalizing abortion was settled law, the New York Times reported on … [+1816 chars]","Brett Kavanaugh, President Donald Trump's Supreme Court nominee, raised questions as a White House aide more than a decade ago about whether the 1973 high court ruling legalizing abortion was settled law, the New York Times reported on Thursday, citing leaked…",text,2018-09-06T14:46:48Z,reuters,Reuters,Emails indicate Trump nominee Kavanaugh questioned abortion ruling: NY Times,https://www.reuters.com/article/us-usa-court-kavanaugh-documents/emails-indicate-trump-nominee-kavanaugh-questioned-abortion-ruling-ny-times-idUSKCN1LM24T,https://s3.reutersmedia.net/resources/r/?m=02&d=20180906&t=2&i=1301494107&w=1200&r=LYNXNPEE851DN,0.8631990322012937,15,0.7250867341482843,0.5890363681525317,0.8578724023202247,1,1
16,https://www.facebook.com/philip.bump,"In a dramatic interaction Thursday morning during Senate Judiciary Committee hearings on the nomination of Brett Kavanaugh to serve on the Supreme Court, Sen. Cory Booker announced that he would deliberately violate rules against releasing protected informati… [+9721 chars]","Washington Post Cory Booker's Senate rules drama, explained Washington Post In a dramatic interaction Thursday morning during Senate Judiciary Committee hearings on the nomination of Brett Kavanaugh to serve on the Supreme Court, Sen. Cory Booker announced th…",text,2018-09-06T18:08:54Z,the-washington-post,The Washington Post,"Cory Booker's Senate rules drama, explained - Washington Post",https://www.washingtonpost.com/politics/2018/09/06/cory-bookers-dramatic-violation-senate-rules-explained/,https://www.washingtonpost.com/resizer/J_l-tyr_rcdL8xAnf70Oh7s7y6g=/1484x0/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/NFVA4WVR4YI6RC2TKAIWO2HETE.jpg,0.07997972743857829,3,0.008437830370431665,0.36036013093024766,0.5911451616271062,6,2
17,,"The 2020 presidential campaign came roaring into Judge Brett M. Kavanaugh’s confirmation hearings this week, with a pair of prospective Democratic candidates going to extraordinary lengths to demonstrate their opposition to President Trump’s Supreme Court nom… [+8636 chars]","Washington Post Potential 2020 candidates use Kavanaugh hearings to show resistance to Trump Washington Post The 2020 presidential campaign came roaring into Judge Brett M. Kavanaugh's confirmation hearings this week, with a pair of prospective Democratic can…",text,2018-09-07T12:25:15Z,the-washington-post,The Washington Post,Potential 2020 candidates use Kavanaugh hearings to show resistance to Trump - Washington Post,https://www.washingtonpost.com/powerpost/potential-2020-candidates-use-kavanaugh-hearings-to-show-resistance-to-trump/2018/09/06/e99b8780-b11d-11e8-aed9-001309990777_story.html,https://www.washingtonpost.com/resizer/I1fG2yWUJ4cIsqoRjZa1YXn_nio=/1484x0/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/5TEI6CFSFII6RIQLL5HYIQUWMY.jpg,0.3803018707025436,7,0.8538343068074138,0.09953354722167906,0.8345705280891963,2,3
18,Bryan Logan,"Democratic senators kept the heat on Judge Brett Kavanaugh on the third day of his Senate confirmation hearings, asking pointed questions about his leanings on women's rights, racial profiling, and the potential role he could play if a case related to the Rus… [+1965 chars]",Judge Brett Kavanaugh on the third day of his Senate confirmation hearings dodged questions about whether he would recuse himself from cases related to the special counsel Robert Mueller or the Russia investigation if they reach the Supreme Court. Sen. Cory B…,text,2018-09-07T04:19:34Z,business-insider,Business Insider,Brett Kavanaugh ducked questions about whether he would recuse himself from Supreme Court cases related to the Russia investigation,https://www.businessinsider.com/brett-kavanaugh-on-recusal-mueller-russia-probe-2018-9,https://amp.businessinsider.com/images/5b91fbe50ce5f591208b4e45-2732-1366.jpg,0.3096837300239109,13,0.22750471559422325,0.6878195278862124,0.2042464678378234,8,2
19,Reuters Editorial,"(Reuters) - President Donald Trump’s nomination of Brett Kavanaugh to the U.S. Supreme Court is before a Senate committee that is struggling to advance it after a woman alleged Kavanaugh sexually assaulted her when they were in high school in 1982. Trump, dro… [+3882 chars]",President Donald Trump's nomination of Brett Kavanaugh to the U.S. Supreme Court is before a Senate committee that is struggling to advance it after a woman alleged Kavanaugh sexually assaulted her when they were in high school in 1982. US,text,2018-09-21T18:00:51Z,reuters,Reuters,Factbox: Kavanaugh's Supreme Court bid hinges on handful of senators,https://www.reuters.com/article/us-usa-court-senate-factbox/factbox-kavanaughs-supreme-court-bid-hinges-on-handful-of-senators-idUSKCN1M12G0,https://s2.reutersmedia.net/resources/r/?m=02&d=20180921&t=2&i=1306814252&w=1200&r=LYNXNPEE8K1KB,0.7922600360257819,1,0.5618187626459064,0.5369233290688712,0.3394062575950223,5,1
20,Associated Press,"WASHINGTON (AP) — Senate Democrats worked into the night in a last, ferocious attempt to paint Supreme Court nominee Brett Kavanaugh as a foe of abortion rights and a likely defender of President Donald Trump. But after two marathon days in the witness chair … [+5787 chars]","Andrew Harnik/AP After two marathon days in the witness chair in a Senate hearing room, Kavanaugh appeared to be on a path to confirmation as a Supreme Court justice. Friday will be the last day of the hearings before the Senate Judiciary Committee. Senate De…",text,2018-09-07T09:45:05Z,business-insider,Business Insider,"Kavanaugh looks polished, set for confirmation despite protests, outcry",https://www.businessinsider.com/kavanaugh-looks-polished-set-for-confirmation-despite-protests-outcry-2018-9,https://amp.businessinsider.com/images/5b9248441982d88d308b4e5d-1334-667.jpg,0.1715876740679979,14,0.8236848079029732,0.4951544814130331,0.8360953762756435,6,2
21,Guardian staff,"Late-night hosts discussed the allegation of sexual assault being leveled against the supreme court nominee Brett Kavanaugh and how the Republican party has been handling it. Trevor Noah The Daily Show (@TheDailyShow) Um, why are all of these arguments about … [+4094 chars]",Late-night hosts discussed the sexual assault allegations against Brett Kavanaugh and how it could affect his hearing Late-night hosts discussed the allegation of sexual assault being leveled against the supreme court nominee Brett Kavanaugh and how the Repub…,text,2018-09-20T15:11:22Z,the-guardian-au,The Guardian (AU),Trevor Noah: 'Let's not add attempted rape to the list of stuff drunk boys do',https://www.theguardian.com/culture/2018/sep/20/late-night-roundup-trevor-noah-brett-kavanaugh-sexual-assault-accusation,https://i.guim.co.uk/img/media/0a7bfcb8d69052c7f7b530427f0c032a11881070/128_0_1497_898/master/1497.png?width=1200&height=630&quality=85&auto=format&usm=12&fit=crop&crop=faces%2Centropy&bm=normal&ba=bottom%2Cleft&blend64=aHR0cHM6Ly9hc3NldHMuZ3VpbS5jby51ay9pbWFnZXMvb3ZlcmxheXMvZDM1ODZhNWVmNTc4MTc1NmQyMWEzYjYzNWU1MTcxNDEvdGctZGVmYXVsdC5wbmc&s=c955e30d90b9e5658934530098e905c4,0.8888831767472734,4,0.2333863435672957,0.8659332348169541,0.7639481562770839,5,3
22,https://www.facebook.com/amarimow,"The first day of the confirmation hearings for Supreme Court nominee Brett M. Kavanaugh introduced the country — briefly — to the nominee, who pledged in his opening statement to be “a neutral and impartial arbiter who favors no litigant or policy.” On Wednes… [+10966 chars]","Washington Post Ten issues likely to come up on second day of Kavanaugh hearings Washington Post The first day of the confirmation hearings for Supreme Court nominee Brett M. Kavanaugh introduced the country — briefly — to the nominee, who pledged in his open…",text,2018-09-05T10:00:41Z,the-washington-post,The Washington Post,Ten issues likely to come up on second day of Kavanaugh hearings - Washington Post,https://www.washingtonpost.com/local/public-safety/ten-issues-likely-to-come-up-on-second-day-of-kavanaugh-hearings/2018/09/05/2ca796b4-ac5e-11e8-a8d7-0f63ab8b1370_story.html,https://www.washingtonpost.com/resizer/N3f-uTOjeAN1ZO8idw42GE2sNVw=/1484x0/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/WX27Y4FGHUI6RJSWSQ7O7K25V4.jpg,0.8971321273350581,9,0.5337184237189895,0.7491504882102628,0.9337551239625246,2,3
23,Richard Cowan,WASHINGTON (Reuters) - A Democratic senator on Tuesday raised new questions about whether U.S. Supreme Court nominee Brett Kavanaugh has accurately described his role in a controversial judicial nomination when he worked for then President George W. Bush. Ema… [+2467 chars],A Democratic senator on Tuesday raised new questions about whether U.S. Supreme Court nominee Brett Kavanaugh has accurately described his role in a controversial judicial nomination when he worked for then President George W. Bush.,text,2018-09-11T21:35:25Z,reuters,Reuters,Supreme Court nominee emails reignite Democratic query on past testimony,https://www.reuters.com/article/us-usa-court-kavanaugh/supreme-court-nominee-emails-reignite-democratic-query-on-past-testimony-idUSKCN1LR2KV,https://s4.reutersmedia.net/resources/r/?m=02&d=20180911&t=2&i=1303331713&w=1200&r=LYNXNPEE8A1KV,0.3216727438939493,2,0.1214289729183472,0.6504937980793157,0.9764026204711093,9,1
24,,Supreme Court nominee Brett M. Kavanaugh on Friday “categorically” denied an allegation of potential sexual misconduct when he was in high school that has roiled the final days of an already contentious confirmation fight in the Senate. The statement from Kav… [+2018 chars],Washington Post Kavanaugh denies decades-old allegation of potential sexual misconduct Washington Post Supreme Court nominee Brett M. Kavanaugh on Friday “categorically” denied an allegation of potential sexual misconduct when he was in high school that has r…,text,2018-09-14T15:31:40Z,the-washington-post,The Washington Post,Kavanaugh denies decades-old allegation of potential sexual misconduct - Washington Post,https://www.washingtonpost.com/politics/kavanaugh-denies-decades-old-allegation-of-potential-sexual-misconduct/2018/09/14/60ee3ae8-b831-11e8-94eb-3bd52dfe917b_story.html,https://www.washingtonpost.com/resizer/-cLKzDXaSfo_Zh3fsEbQ680FPyU=/1484x0/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/3NNVNSVXPEI6RJ5VVWVKLMVFP4.jpg,0.7716831636611424,8,0.3241686066162951,0.3439301207144678,0.3506616200389845,5,2
25,Reuters Editorial,"WASHINGTON (Reuters) - A woman who has accused U.S. Supreme Court nominee Brett Kavanaugh of sexual assault has agreed to testify before a Senate panel, her lawyers said on Saturday. The Senate Judiciary Committee had delayed a vote on Kavanaugh’s confirmatio… [+416 chars]","A woman who has accused U.S. Supreme Court nominee Brett Kavanaugh of sexual assault has agreed to testify before a Senate panel, her lawyers said on Saturday. US",text,2018-09-22T19:12:14Z,reuters,Reuters,Kavanaugh accuser agrees to testify in Senate hearing,https://www.reuters.com/article/us-usa-court-kavanaugh/kavanaugh-accuser-agrees-to-testify-in-senate-hearing-idUSKCN1M20UO,https://s4.reutersmedia.net/resources/r/?m=02&d=20180922&t=2&i=1307127497&w=1200&r=LYNXNPEE8L0S8,0.18183528352562384,2,0.9730348284582542,0.4034103039600313,0.24021612141690862,6,2
26,Richard Cowan,"WASHINGTON (Reuters) - A woman who had anonymously accused President Donald Trump’s U.S. Supreme Court nominee, Brett Kavanaugh, of sexual misconduct in the early 1980s went public on Sunday, prompting Republicans to plan further discussions about his nominat… [+4729 chars]","A woman who had anonymously accused President Donald Trump's U.S. Supreme Court nominee, Brett Kavanaugh, of sexual misconduct in the early 1980s went public on Sunday, prompting Republicans to plan further discussions about his nomination before a committee …",text,2018-09-17T07:04:07Z,reuters,Reuters,Kavanaugh accuser goes public,https://www.reuters.com/article/us-usa-court-kavanaugh/kavanaugh-accuser-goes-public-idUSKCN1LW0OE,https://s3.reutersmedia.net/resources/r/?m=02&d=20180917&t=2&i=1305106043&w=1200&r=LYNXNPEE8G027,0.8648162419472551,3,0.358230862050091,0.5522250857835158,0.6459169283192293,4,1
27,,Sen. Patrick J. Leahy (D-Vt.) said Friday that Supreme Court nominee Brett Kavanaugh was “not truthful” when he denied knowing that he had received documents that Leahy said had been “stolen” from him and other Democrats. Leahy said that emails disclosed duri… [+4752 chars],Washington Post Leahy says Kavanaugh was 'not truthful' about Democratic documents Washington Post Sen. Patrick J. Leahy (D-Vt.) said Friday that Supreme Court nominee Brett Kavanaugh was “not truthful” when he denied knowing that he had received documents th…,text,2018-09-07T22:16:08Z,the-washington-post,The Washington Post,Leahy says Kavanaugh was 'not truthful' about Democratic documents - Washington Post,https://www.washingtonpost.com/politics/leahy-says-kavanaugh-was-not-truthful-about-democratic-documents/2018/09/07/babfb4aa-b2d9-11e8-a20b-5f4f84429666_story.html,https://www.washingtonpost.com/resizer/dxNIjTbjZQcfGyhz1fXQxlWk1QI=/1484x0/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/MAVLFSFRNAI6RC2TKAIWO2HETE.jpg,0.527349340288982,13,0.38158897349551657,0.23035417103981803,0.6882777799412226,1,2
28,Lawrence Hurley,WASHINGTON (Reuters) - The Republican-led Senate Judiciary Committee on Thursday set a vote for next week on President Donald Trump’s U.S. Supreme Court pick while a Democratic senator said she sent unspecified new information about nominee Brett Kavanaugh to… [+2288 chars],"The Republican-led Senate Judiciary Committee on Thursday set a vote for next week on President Donald Trump's U.S. Supreme Court pick while a Democratic senator said she sent unspecified new information about nominee Brett Kavanaugh to ""federal investigative…",text,2018-09-13T19:29:58Z,reuters,Reuters,"As Senate panel sets vote on Trump court pick, new controversy arises",https://www.reuters.com/article/us-usa-court-kavanaugh/as-senate-panel-sets-vote-on-trump-court-pick-new-controversy-arises-idUSKCN1LT2M7,https://s2.reutersmedia.net/resources/r/?m=02&d=20180913&t=2&i=1303986747&w=1200&r=LYNXNPEE8C1Q4,0.508015755294312,4,0.19183133923184525,0.033489883440384616,0.9331343492304802,3,1
29,"AP, AP, AP",,"At his New York fashion week show, Jeremy Scott wore a T-shirt saying 'Tell Your Senator No on Kavanaugh,' along with a Washington phone number to call to express displeasure with President Donald Trump's high court nominee. (Sept. 7)",text,2018-09-07T15:05:21Z,usa-today,USA Today,Jeremy Scott protests Brett Kavanaugh,https://www.usatoday.com/videos/news/nation/2018/09/07/jeremy-scott-protests-brett-kavanaugh/37742183/,https://media.gannett-cdn.com/29906170001/29906170001_5832094579001_5832094925001-vs.jpg?pubId=29906170001?width=3200&height=1800&fit=crop,0.08480482879183349,12,0.33835086997380337,0.9971457450561176,0.618650002302049,1,3
30,Alana Abramson and Tessa Berenson,"Confirmation hearings for Supreme Court nominee Brett Kavanaugh began with fireworks on Tuesday as shouting protesters were removed forcefully and Democratic senators called for shutting down for the day. As Kavanaugh sat silently with his family behind him, … [+2332 chars]","""We are rushing through this process in a way that is unnecessary""",text,2018-09-04T14:23:50Z,time,Time,Democrats Start Brett Kavanaugh Confirmation Hearings With Fireworks,http://time.com/5385927/brett-kavanaugh-confirmation-hearings/,https://timedotcom.files.wordpress.com/2018/09/kavanaugh-hearings.jpg?quality=85,0.7491889017908068,17,0.46807516662692616,0.32799048083513216,0.9719203889994118,9,3
