,author,content,description,publishedAt,source_id,source_name,title,url,urlToImage,medium,polarity,length,article_similarity,source_similarity,cosine_similarity,subject_matter,cluster
10,Rick Klein and MaryAlice Parks,"The TAKE with Rick Klein Interested in The Note? Add The Note as an interest to stay up to date on the latest The Note news, video, and analysis from ABC News. It does not get, in matters of state, much deeper than this. The extraordinary anonymous New York T… [+9831 chars]","It does not get, in matters of state, much deeper than this.",2018-09-06T10:12:54Z,abc-news,ABC News,The Note: Trump firestorms that could spark an explosion,https://abcnews.go.com/Politics/note-trump-firestorms-spark-explosion/story?id=57635693,https://s.abcnews.com/images/Politics/donald-trump-oval-office-ap-jc-180905_hpMain_16x9_992.jpg,text,0.2804016979669429,3,0.9370868774610521,0.612158930311204,0.020027531544534183,7,3
11,ABCNews,President Donald Trump on Tuesday once again waded into the fray over his embattled Supreme Court nominee Brett Kavanaugh who has denied a sexual assault allegation on the eve of a committee vote on his confirmation. Interested in Donald Trump? Add Donald Tru… [+962 chars],"""I don't think the FBI should be involved because they don't want to be involved. This is not their thing,"" Trump told reporters in reference to Brett Kavanaugh.",2018-09-18T17:10:54Z,abc-news,ABC News,Trump says he doesn't think FBI should be involved in investigating Kavanaugh claim,https://abcnews.go.com/Politics/trump-fbi-involved-investigating-kavanaugh-allegation/story?id=57909997,https://s.abcnews.com/images/Health/donald-trump-gty-mem-180914_hpMain_16x9_992.jpg,text,0.5179347309230546,16,0.20857621436251828,0.6665004840639812,0.5011134594119069,2,2
12,Trish Turner and Meridith McGraw,"Christine Blasey Ford, who has accused Supreme Court nominee Brett Kavanaugh of sexual assault, has agreed to testify before the Senate Judiciary Committee next week. Interested in Supreme Court? Add Supreme Court as an interest to stay up to date on the late… [+3662 chars]",Christine Blasey Ford's lawyers said she will testify about her accusation of sexual assault by Kavanaugh.,2018-09-22T19:21:42Z,abc-news,ABC News,Kavanaugh accuser agrees to testify before Senate committee next week,https://abcnews.go.com/Politics/kavanaugh-accuser-agrees-testify-senate-committee-week/story?id=58006753,https://s.abcnews.com/images/Politics/christine-blasey-ford-brett-kavanaugh-ap-mt-180922_hpMain_16x9_992.jpg,text,0.46555574040496883,7,0.6218107269416975,0.9338526068335442,0.34029286876426723,2,1
13,Meghan Keneally,"Donald Trump Jr. has been known to draw controversy on social media, and a post Saturday follows suit. The president's eldest son posted an image of an apparently fake note that looked like it was written by a child, joking that it was a letter making allegat… [+4127 chars]",The post on Saturday came before Brett Kavanaugh's accuser publicly revealed her identity.,2018-09-17T19:01:28Z,abc-news,ABC News,Donald Trump Jr. posted image appearing to mock letter on Kavanaugh,https://abcnews.go.com/US/donald-trump-jr-posted-image-appearing-mock-allegations/story?id=57880716,https://s.abcnews.com/images/Politics/donald-trump-jr-gty-jt-180805_hpMain_16x9_992.jpg,text,0.6832982001521664,2,0.5111280636977531,0.2840231863538857,0.6818507275130532,3,3
14,Meridith McGraw,The Republican chairman of the Senate Judiciary Committee has given Christine Blasey Ford until midafternoon Saturday to respond on whether she will testify next week on her allegation of sexual assault against Supreme Court nominee Brett Kavanaugh. The new d… [+2541 chars],Christine Blasey Ford's lawyers said she is willing to testify with conditions.,2018-09-22T18:05:30Z,abc-news,ABC News,Kavanaugh accuser given until 2:30 p.m. Saturday to decide whether to testify,https://abcnews.go.com/Politics/kavanaugh-accuser-230-pm-saturday-decide-testify/story?id=58006753,https://s.abcnews.com/images/Politics/chuck-grassley-christine-blasey-ford-gty-ht-jt-180922_hpMain_16x9_992.jpg,text,0.5246630851593602,15,0.77868569010343,0.755698647395756,0.6885193069577429,2,3
15,The Associated Press,"Interested in Health Care Overhaul? Add Health Care Overhaul as an interest to stay up to date on the latest Health Care Overhaul news, video, and analysis from ABC News. A federal judge in Texas did not immediately rule on the latest push by Republicans to e… [+731 chars]","Get breaking national and world news, broadcast video coverage, and exclusive interviews. Find the top news online at ABC news.",2018-09-05T19:37:45Z,abc-news,ABC News,No immediate ruling in GOP's latest 'Obamacare' lawsuit,https://abcnews.go.com/Politics/wireStory/ruling-gops-latest-obamacare-lawsuit-57627657,https://s.abcnews.com/images/Politics/WireAP_dca99b9cd46a49238b64286db2b33342_16x9_992.jpg,text,0.46268353966653186,17,0.9571549004377193,0.2645801561112213,0.8501134544014242,6,2
16,Azure Gilman,"Florence took aim at the Carolinas, causing ""historic and unprecedented"" flooding. The woman who accused Supreme Court nominee Brett Kavanaugh of trying to rape her in high school identified herself in a Washington Post article. A U.S. Border Patrol agent has… [+1452 chars]",Before you begin your week have a look back at the top stories of the weekend.,2018-09-16T22:37:18Z,abc-news,ABC News,5 major headlines to start the week,https://abcnews.go.com/US/major-headlines-start-week/story?id=57863707,https://s.abcnews.com/images/US/florence-debris-ap-mo-20180916_hpMain_16x9_992.jpg,text,0.3916454833042843,11,0.8264835801294403,0.6807303255431291,0.6657272972916094,6,2
17,ABC News,Now Playing: Boy asks for hug and Trump delivers Now Playing: SCOTUS nom Brett Kavanaugh being treated 'very tough': Trump Now Playing: Trump calls Florence 'one of the wettest ever' Now Playing: Sen. Mazie Hirono's message to American men: 'Just shut up and … [+1238 chars],The president embraced a boy while handing out meals at a relief center in North Carolina.,2018-09-19T17:13:00Z,abc-news,ABC News,WATCH: Boy asks for hug and Trump delivers,https://abcnews.go.com/Politics/video/boy-asks-hug-trump-delivers-57937246,https://s.abcnews.com/images/Politics/180919_vod_orig_trump_hug_hpMain_16x9_992.jpg,text,0.5673016675709354,17,0.3859636991058498,0.773407771043375,0.04852212569377734,5,2
18,Azure Gilman,Brett Kavanaugh's accuser Christine Blasey Ford has reached a deal to testify before the Senate Judiciary Committee on Thursday morning in an open hearing. Six siblings of Arizona congressman Paul Gosar starred in a video for his opponent in the upcoming elec… [+1042 chars],Before you begin your week have a look back at the top stories of the weekend.,2018-09-23T18:19:02Z,abc-news,ABC News,5 major headlines to start the week,https://abcnews.go.com/US/major-headlines-start-week/story?id=58023335,https://s.abcnews.com/images/Politics/christine-blasey-ford-brett-kavanaugh-ap-mt-180922_hpMain_16x9_992.jpg,text,0.5795675560179365,11,0.4908700279427679,0.4300650944042209,0.588516694698518,8,3
19,Rick Klein,"The TAKE with Rick Klein Interested in The Note? Add The Note as an interest to stay up to date on the latest The Note news, video, and analysis from ABC News. Out of the chaos and norm-busting and institution-bursting of the last few days comes a voice from … [+9696 chars]","The TAKE with Rick Klein Out of the chaos and norm-busting and institution-bursting of the last few days comes a voice from the not-so-distant past. Former President Barack Obama will now start making himself known in the midterms, with a speech at the Univer…",2018-09-07T10:13:21Z,abc-news,ABC News,The Note: Obama takes the midterms stage,https://abcnews.go.com/Politics/note-obama-takes-midterms-stage/story?id=57662634,https://s.abcnews.com/images/US/barack-obama-2-gty-jt-180901_hpMain_16x9_992.jpg,text,0.26871455703020974,6,0.3126577507983773,0.9016372427652068,0.8269565618532467,5,2
20,MARIAM KHAN,"Despite the fact that Brett Kavanaugh 's accuser, Christine Blasey Ford, hasn't testified yet about her alleged sexual assault by the Supreme Court nominee, Senate Majority Leader Mitch McConnell declared Friday that Kavanaugh will be confirmed to the Supreme… [+3263 chars]","Kavanaugh is ""stunningly successful individual,"" McConnell says",2018-09-21T17:13:13Z,abc-news,ABC News,"'Judge Kavanaugh will be on the United States Supreme Court,' McConnell says",https://abcnews.go.com/Politics/accuser-testifies-mcconnell-predicts-kavanaugh-confirmed/story?id=57988460,https://s.abcnews.com/images/Politics/mcconnell-ap-ml-180921_hpMain_16x9_992.jpg,text,0.56794998296859,10,0.12042544646736075,0.008200538897061072,0.7037698923504528,9,3
21,Rick Klein and MaryAlice Parks,"The TAKE with Rick Klein Interested in The Note? Add The Note as an interest to stay up to date on the latest The Note news, video, and analysis from ABC News. Amid the hyperspeed of politics these days, this week inched by slowly – even seeming to move backw… [+9424 chars]","Amid the hyperspeed of politics these days, this week inched by slowly – even seeming to move backward at times.",2018-09-21T10:17:45Z,abc-news,ABC News,The Note: Kavanaugh fight takes politics a step backwards,https://abcnews.go.com/Politics/note-kavanaugh-fight-takes-politics-step-backwards/story?id=57976397,https://s.abcnews.com/images/US/brett-kavanaugh-ap-mt-180920_hpMain_16x9_992.jpg,text,0.38962426322333543,9,0.6283179854300488,0.83869545005931,0.46347399531020717,2,2
22,Meghan Keneally,"Sexual assault allegations have uprooted Brett Kavanaugh's Supreme Court confirmation hearings and prompted outrage, but that didn't stop a U.S. congressman from joking about the topic at a recent debate. Rep. Ralph Norman, R-S.C., used his opening remarks at… [+2139 chars]","Sexual assault allegations have uprooted Brett Kavanaugh's Supreme Court confirmation hearings, but that didn't stop a U.S. congressman from joking about the subject.",2018-09-21T16:23:46Z,abc-news,ABC News,Congressman jokes about Ruth Bader Ginsburg's being 'groped' by Abe Lincoln,https://abcnews.go.com/US/rep-ralph-norman-jokes-ruth-bader-ginsburgs-groped/story?id=57986316,,text,0.5324468707897522,14,0.23789717789776343,0.19921521657231944,0.7657340086990357,7,1
23,Mark Osborne,"Hillary Clinton called out the Republican Party for backing down to President Donald Trump, asking ""Why are they so intimidated?"" Clinton spoke to ""The Late Show"" host Stephen Colbert in a wide-ranging interview Friday, tackling everything from special counse… [+2109 chars]","The former presidential candidate appeared on ""The Late Show"" Friday.",2018-09-22T05:06:53Z,abc-news,ABC News,Hillary Clinton calls out Republican Party: 'Why are they so intimidated?',https://abcnews.go.com/Politics/hillary-clinton-asks-happened-republican-party-intimidated/story?id=58004355,https://s.abcnews.com/images/Politics/colbert-clinton-ho-mo-20180922_hpMain_16x9_992.jpg,text,0.5451408616210821,9,0.1287510797239645,0.39453114727075533,0.4040767471177904,8,3
24,"David Rind, Kelly Terez and Lauren Meltzer","It's Monday, Sept. 17, 2018. Here's what you need to start your day: 1. Rescues continue in washed-out Carolinas More than a dozen people are dead in North and South Carolina after Hurricane Florence toppled trees, washed out roads and dumped over 20 inches o… [+5501 chars]","It's Monday, Sept. 17, 2018. Here's what you need to start your day.",2018-09-17T11:14:34Z,abc-news,ABC News,"'Start Here': Kavanaugh, Florence recovery. What you need to know to start your day.",https://abcnews.go.com/US/start-here-carolinas-recover-florence-kavanaughs-accuser-border-agent/story?id=57848019,https://s.abcnews.com/images/US/florence2-gty-hb-180916_hpMain_1_16x9_992.jpg,text,0.7649970350033738,9,0.48987316300966777,0.5731883925545725,0.8121646376512739,7,3
25,The Associated Press,"Interested in Supreme Court? Add Supreme Court as an interest to stay up to date on the latest Supreme Court news, video, and analysis from ABC News. President Donald Trump 's eldest son on Monday appeared to mock the sexual assault allegations against his fa… [+2180 chars]",President Donald Trump's eldest son on Monday appeared to mock the sexual assault allegations against his father's nominee for the Supreme Court,2018-09-17T16:09:51Z,abc-news,ABC News,Trump Jr. mocks sexual assault claim against Kavanaugh,https://abcnews.go.com/Politics/wireStory/trump-jr-mocks-sexual-assault-claim-kavanaugh-57880582,https://s.abcnews.com/images/Politics/WireAP_ed04ddbc72b04c7c86f2d2f0203634bc_16x9_992.jpg,text,0.5318308501466618,9,0.8129612852739367,0.020427944147975552,0.3770691604454258,9,2
26,Avery Miller,"Rep. Anna Eshoo, the California Democrat who was first approached by Supreme Court nominee Brett Kavanaugh’s accuser over the summer, describes Christine Blasey Ford as a “gentle, honest person who may change people’s minds.” Eshoo told ABC News' ""Powerhouse … [+2464 chars]","Rep. Anna Eshoo described Christine Blasey Ford as a “gentle, honest person who may change people’s minds.”",2018-09-19T02:04:45Z,abc-news,ABC News,"Congresswoman, first to talk to Kavanaugh accuser, calls her 'honest person'",https://abcnews.go.com/Politics/congresswoman-talk-kavanaugh-accuser-calls-honest-person/story?id=57922185,https://s.abcnews.com/images/Politics/brett-kavanaugh-gty-jt-180917_hpMain_16x9_992.jpg,text,0.5777422264154597,11,0.44906045901935077,0.6522916650052784,0.2271308205746151,3,1
27,ALI ROGIN,Senators on both sides of the political aisle seemed to agree Tuesday that the sexual assault allegation from Professor Christine Blasey Ford against Judge Brett Kavanaugh ought to be discussed and included as part of the body of information lawmakers will us… [+6405 chars],"Republicans and Democrats appear divided on how to proceed, with Republicans saying a Judiciary Committee hearing would be best, and Democrats calling for an FBI probe.",2018-09-18T21:33:17Z,abc-news,ABC News,Senators united that Kavanaugh accuser should be heard; divided on how and where,https://abcnews.go.com/Politics/senators-united-kavanaugh-accuser-heard-divided/story?id=57916423,https://s.abcnews.com/images/Politics/brett-kavanaugh-ap-jef-180917_hpMain_16x9_992.jpg,text,0.16403623549794077,15,0.374709233279479,0.1275072664920066,0.23734083192039745,8,3
28,"David Rind, Kelly Terez and Lauren Meltzer","It's Thursday, Sept. 20, 2018. Here's what you need to start your day: 1. GOP moving toward vote if Kavanaugh accuser doesn't testify Republicans could be headed for a vote on the confirmation of Supreme Court nominee Brett Kavanaugh if the woman who's accuse… [+4902 chars]","It's Thursday, Sept. 20, 2018. Here's what you need to start your day.",2018-09-20T09:45:36Z,abc-news,ABC News,"'Start Here': Trump, Ford, Mavericks. What you need to know to start your day.",https://abcnews.go.com/US/start-kavanaughs-accuser-waffles-trump-tours-hurricane-zone/story?id=57930766,https://s.abcnews.com/images/US/Kavanaugh6-ap-hb-180905_hpMain_3_16x9_992.jpg,text,0.080460920002423,15,0.042147150351308005,0.8211190638818444,0.6143453147192938,5,1
29,The Associated Press,Combat won out over caution. White House aides and congressional allies worked all week to keep President Donald Trump from unloading on the woman who has accused Supreme Court nominee Brett Kavanaugh of sexual misconduct. But as Kavanaugh's nomination hung i… [+6172 chars],President Donald Trump is embracing combat over caution with the allegation of sexual misconduct against his Supreme Court nominee,2018-09-22T11:47:47Z,abc-news,ABC News,Trump picks combat over caution in court fight,https://abcnews.go.com/Politics/wireStory/trump-picks-combat-caution-court-fight-58004931,https://s.abcnews.com/images/Politics/WireAP_cb0acd5030b5498a8ec9c6547c9df3fb_16x9_992.jpg,text,0.7386510612612323,12,0.8662244359935225,0.23029396021028203,0.9476767028512478,8,2
30,Alexander Mallin and Katherine Faulders,"It's been the summer of the disappearing White House press briefing. Interested in Trump Administration? Add Trump Administration as an interest to stay up to date on the latest Trump Administration news, video, and analysis from ABC News. President Trump’s p… [+3533 chars]",Trump spokeswoman Sarah Sanders spent just 4 hours at the podium in summer 2018.,2018-08-31T20:26:46Z,abc-news,ABC News,The summer of disappearing White House press briefings,https://abcnews.go.com/Politics/summer-disappearing-white-house-press-briefings/story?id=57528138,https://s.abcnews.com/images/Politics/sarah-sanders-gty-mem-180815_hpMain_16x9_992.jpg,text,0.3085748623682931,2,0.41226207851690966,0.6426933611565079,0.9138558497760092,6,3
31,"David Rind, Kelly Terez and Lauren Meltzer","It's Monday, Sept. 24, 2018. Here's what you need to start your day: 1. Ford agrees to testify on Kavanaugh as new accuser comes forward The New Yorker published new allegations from a new accuser Sunday night, saying Supreme Court nominee Brett Kavanaugh mis… [+5896 chars]","It's Monday, Sept. 24, 2018. Here's what you need to start your day.",2018-09-24T09:39:15Z,abc-news,ABC News,'Start Here': Another Kavanaugh accusation. What you need to know to start your day.,https://abcnews.go.com/US/start-here-kavanaugh-allegation-general-assembly-begins-orourke-debates/story?id=57993306,https://s.abcnews.com/images/Politics/Kavanaugh6-ap-hb-180905_hpMain_16x9_992.jpg,text,0.34815756429141387,1,0.059642249477690146,0.3766999947780726,0.4568606529344832,4,3
32,"David Rind, Kelly Terez and Lauren Meltzer","It's Monday, Sept. 24, 2018. Here's what you need to start your day: 1. Ford agrees to testify on Kavanaugh as new accuser comes forward The New Yorker published new allegations from a new accuser Sunday night, saying Supreme Court nominee Brett Kavanaugh mis… [+5896 chars]","It's Monday, Sept. 24, 2018. Here's what you need to start your day.",2018-09-24T09:06:24Z,abc-news,ABC News,'Start Here': Another Kavanaugh accusation. What you need to know to start your day.,https://abcnews.go.com/US/start-kavanaugh-allegation-general-assembly-begins-orourke-debates/story?id=57993306,https://s.abcnews.com/images/Politics/Kavanaugh6-ap-hb-180905_hpMain_16x9_992.jpg,text,0.7295430637235466,17,0.12596376744077287,0.1296509869934468,0.5800574860255622,6,1
33,"David Rind, Kelly Terez and Lauren Meltzer","It's Wednesday, Sept. 19, 2018. Here's what you need to start your day: 1. Kavanaugh's accuser wants FBI investigation before testifying Christine Blasey Ford, the woman accusing Supreme Court nominee Brett Kavanaugh of sexually assaulting her decades ago, wi… [+6873 chars]","It's Wednesday, Sept. 19, 2018. Here's what you need to start your day.",2018-09-19T09:14:09Z,abc-news,ABC News,'Start Here': Kavanaugh accuser speaks out. What you need to know to start your day.,https://abcnews.go.com/US/start-here-kavanaugh-accuser-fbi-investigation-nfl-hall-famers/story?id=57907709,https://s.abcnews.com/images/Politics/brett-kavanaugh-ap-jef-180917_hpMain_16x9_992.jpg,text,0.3358514983514277,1,0.11281818256273979,0.9168073411315963,0.5817258860548146,1,1
34,"David Rind, Kelly Terez and Lauren Meltzer","It's Wednesday, Sept. 19, 2018. Here's what you need to start your day: 1. Kavanaugh's accuser wants FBI investigation before testifying Christine Blasey Ford, the woman accusing Supreme Court nominee Brett Kavanaugh of sexually assaulting her decades ago, wi… [+6873 chars]","It's Wednesday, Sept. 19, 2018. Here's what you need to start your day.",2018-09-19T09:07:42Z,abc-news,ABC News,'Start Here': Kavanaugh accuser speaks out. What you need to know to start your day.,https://abcnews.go.com/US/start-kavanaugh-accuser-fbi-investigation-nfl-hall-famers/story?id=57907709,https://s.abcnews.com/images/Politics/brett-kavanaugh-ap-jef-180917_hpMain_16x9_992.jpg,text,0.5696679360456601,2,0.12062625986840314,0.8067048512274887,0.5318722392661732,9,1
35,,,"ABC News Kavanaugh hearing live updates: Democrats, Republicans clash over withheld documents ABC News Confirmation hearings for Supreme Court nominee Brett Kavanaugh began with protests Tuesday, as Democrats objected to what they say is a lack of critical in…",2018-09-04T19:31:00Z,abc-news,ABC News,"Kavanaugh hearing live updates: Democrats, Republicans clash over withheld documents - ABC News",https://abcnews.go.com/Politics/kavanaugh-confirmation-hearings-begin-protest-democrats/story?id%3D57590456,,text,0.6093314222473709,3,0.4210319192859383,0.9556836160243095,0.8588228760923253,7,1
36,Reuters,"Senate Democrats plan to hammer U.S. President Donald Trump's Supreme Court nominee, Brett Kavanaugh, over his views on abortion and presidential power in hearings starting on Tuesday, but the conservative judge looks likely to be confirmed. ""A good judge mus… [+2950 chars]","Senate Democrats plan to hammer U.S. President Donald Trump's Supreme Court nominee, Brett Kavanaugh, over his views on abortion and presidential power in hearings that start today, but the conservative judge looks likely to be confirmed.",2018-09-04T11:58:08Z,cbc-news,CBC News,Democrats vow 'sparks will fly' at confirmation hearing for Trump's Supreme Court pick,https://www.cbc.ca/news/world/democrats-trump-supreme-court-pick-brett-kavanaugh-1.4809306,https://i.cbc.ca/1.4809312.1536056995!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_620/usa-court-kavanaugh.jpg,text,0.07198685066240218,18,0.6484332232890749,0.8216616614097904,0.41798078910946534,5,3
37,Our Foreign Staff,"D onald Trump jumped in to defend his embattled nominee for the Supreme Court on Tuesday, saying he felt “terribly” for Brett Kavanaugh even as senators grapple with how to deal with decades-old allegations of sexual assault. “I feel so badly for him that he'… [+786 chars]","Donald Trump jumped in to defend his embattled nominee for the Supreme Court on Tuesday, saying he felt &ldquo;terribly&rdquo; for Brett Kavanaugh even as senators grapple with how to deal with decades-old allegations of sexual assault.",2018-09-19T01:32:34Z,the-telegraph,The Telegraph,Donald Trump expresses sympathy for Supreme Court nominee accused of sex assault,https://www.telegraph.co.uk/news/2018/09/19/donald-trump-expresses-sympathy-supreme-court-nominee-accused/,https://www.telegraph.co.uk/content/dam/news/2018/07/10/TELEMMGLPICT000168883718-xlarge_trans_NvBQzQNjv4Bq-wioWl5aH7fAEJ8IWJw2YyYXfEVsGd8gJRvFnmyg14I.jpeg,text,0.2903220082465571,17,0.08491977960929398,0.040080756550718855,0.6850767852037815,6,1
